adipose subcutaneous,#FF6600,Adipose
adipose,#FF751A,Adipose
adipocytes,#FF8533,Adipose
adipocyte,#FF8533,Adipose
adipose visceral omentum,#FFAA00,Adipose
blood,#FF00BB,Blood
platelets,#FF33C9,Blood
erythroid progenitors,#FF4DCF,Blood
blood t cells,#FF66D6,Blood
blood plasma,#FF80DD,Blood
plasma,#FF99E4,Blood
sfrp2 knockdown osteoblasts,#A37581,Bone
sfrp2oe osteoblasts,#A37581,Bone
bone marrow,#AD858F,Bone
bone,#B8949D,Bone
pre-osteoblasts,#C2A3AB,Bone
osteocytes,#CCB3B9,Bone
osteoblasts,#D6C2C7,Bone
osteoblast,#E0D1D5,Bone
breast,#FF809F,Breast
mammary epithelium,#FF99B3,Breast
breast epithelium,#FF99B3,Breast
breast mammary tissue,#FFB3C6,Breast
fetal heart,#C300F2,Cardiac
pericardium fibroblast,#CC00CC,Cardiac
cardiac fibroblasts,#B800E6,Cardiac
cardiac muscle,#A300CC,Cardiac
cardiac progenitor,#D11AFF,Cardiac
cardiomyocyte,#D633FF,Cardiac
heart atrial appendage,#520066,Cardiac
heart left ventricle,#660080,Cardiac
heart,#7A0099,Cardiac
heart endothelial cells,#3D004D,Cardiac
cerebellum,#CCCC00,Central nervous system
brain,#EEEE00,Central nervous system
brain amygdala,#EEEE00,Central nervous system
brain anterior cingulate cortex ba24,#EEEE00,Central nervous system
brain caudate basal ganglia,#EEEE00,Central nervous system
brain cerebellar hemisphere,#EEEE00,Central nervous system
brain cortex,#EEEE00,Central nervous system
brain endothelium,#EEEE00,Central nervous system
brain frontal cortex ba9,#EEEE00,Central nervous system
brain hippocampus,#EEEE00,Central nervous system
brain hypothalamus,#EEEE00,Central nervous system
brain nucleus accumbens basal ganglia,#EEEE00,Central nervous system
brain putamen basal ganglia,#EEEE00,Central nervous system
brain spinal cord cervical c-1,#EEEE00,Central nervous system
brain substantia nigra,#EEEE00,Central nervous system
brain tissue mixture,#EEEE00,Central nervous system
central nervous system,#EEEE00,Central nervous system
dopaminergic neurons,#FFFF1A,Central nervous system
astrocytes,#FFFF33,Central nervous system
glial progenitor cells,#FFFF4D,Central nervous system
glia,#FFFF66,Central nervous system
ventricular cerebrospinal fluid,#FFFF80,Central nervous system
lumbar puncture cerebrospinal fluid,#FFFF99,Central nervous system
spinal cord,#FFFFB3,Central nervous system
interneurons,#FFFFCC,Central nervous system
fetal brain,#FFFFE6,Central nervous system
cervix,#FF8080,Cervix
cervical mucosa,#FF9999,Cervix
colon transverse,#CC9955,Colon
colorectal,#D39A50,Colon
colon sigmoid,#E69833,Colon
colon,#EEBB77,Colon
trophoblast,#99FFE6,Embryo
trophoblasts,#99FFE6,Embryo
chorion,#B3FFEC,Embryo
blastocyst,#CCFFF2,Embryo
amnion,#E6FFF9,Embryo
thyroid,#006600,Endocrine
adrenal gland,#33DD33,Endocrine
fetal adrenal,#51E151,Endocrine
esophagus mucosa,#552200,Esophagus
esophagus gastroesophageal junction,#8B7355,Esophagus
esophagus,#8B7355,Esophagus
esophagus muscularis,#BB9988,Esophagus
fetal eye,#B3FF66,Eye
corneal epithelial cells,#BFFF80,Eye
eye,#CCFF99,Eye
fibroblasts,#66E0FF,Fibroblasts
fibroblast,#99EBFF,Fibroblasts
fibroblast of villous mesenchyme,#1AD1FF,Fibroblasts
cells cultured fibroblasts,#AAEEFF,Fibroblasts
fetal fibroblasts,#CCF5FF,Fibroblasts
cord fibroblasts,#00CCFF,Fibroblasts
cells ebv-transformed lymphocytes,#CC66FF,Immune system
lymphoblastoid cell line,#CC66FF,Immune system
lymphoblastoid,#CC66FF,Immune system
lymphoid progenitors,#CC66FF,Immune system
b cells,#CC66FF,Immune system
t cells,#D580FF,Immune system
dendritic cells,#D6ADEB,Immune system
microglia,#D8A8F0,Immune system
nk cells,#DAA1F7,Immune system
monocytes,#DC9CFC,Immune system
pbmcs,#DD99FF,Immune system
granulocytes,#E2BEF4,Immune system
macrophages,#E5B4FD,Immune system
macrophage and intestinal organoid,#E5B4FD,Immune system
t cells (skin),#E6B3FF,Immune system
myeloid,#EECCFF,Immune system
neutrophils,#EECDFE,Immune system
small intestine,#555522,Intestine
small intestine terminal ileum,#555522,Intestine
intestine,#92923A,Intestine
fetal intestine,#B6B649,Intestine
glomerular endothelial cell,#00B398,Kidney
kidney endothelial cells,#00CCAD,Kidney
kidney epithelial cell,#00E6C3,Kidney
kidney allograft,#00FFD9,Kidney
embryonic kidney,#1AFFDD,Kidney
kidney cortex,#22FFDD,Kidney
egfp+ cells from kidney organoid,#33FFE0,Kidney
kidney,#4DFFE4,Kidney
kidney medulla,#66FFE8,Kidney
egfp- cells from kidney organoid,#80FFEC,Kidney
kidney mesangial cell,#99FFF0,Kidney
fetal kidney,#B3FFF4,Kidney
kidney organoid,#CCFFF7,Kidney
liver,#AABB66,Liver
fetal liver,#BAC884,Liver
bile duct,#C4D095,Liver
hepatic progenitor cells,#CED7A7,Liver
hepatocytes,#D8DFB9,Liver
liver endothelial cells,#E1E7CA,Liver
lung,#99FF00,Lung
lung t cells,#A3FF1A,Lung
lung fibroblasts,#B8FF4D,Lung
lung endothelial cells,#CCFF80,Lung
lung embryonic fibroblasts,#D6FF99,Lung
fetal lung,#E0FFB3,Lung
adipose tissue–derived mscs,#669999,Mesenchyme
mesenchymal progenitors,#75A3A3,Mesenchyme
mesenchymal stem cells,#85ADAD,Mesenchyme
mesenchymal stroma,#94B8B8,Mesenchyme
sfrp2 knockdown mesenchymal stem cells,#A3C2C2,Mesenchyme
sfrp2oe mesenchymal stem cells,#A3C2C2,Mesenchyme
transformed mesenchymal stem cells,#B3CCCC,Mesenchyme
smooth muscle,#004D3D,Muscle
smooth muscle cell,#006652,Muscle
fetal muscle,#00997A,Muscle
muscle,#008066,Muscle
cartilage,#332600,Muscoloskeletal
chondrocytes,#332600,Muscoloskeletal
tenocytes,#4D3900,Muscoloskeletal
limb,#664D00,Muscoloskeletal
joint,#806000,Muscoloskeletal
connective tissue,#997300,Muscoloskeletal
anterior cruciate ligament,#B38600,Muscoloskeletal
skeletal muscle,#CC9900,Muscoloskeletal
nerve tibial,#FFD700,Nervous system
neuroprogenitor cells,#FFDD1A,Nervous system
neuroprogenitors,#FFDD1A,Nervous system
neural stem cells,#FFE033,Nervous system
neuron,#FFE44D,Nervous system
neurons,#FFE866,Nervous system
bipolar spindle neuron,#FFEC80,Nervous system
fetal pancreas,#8E582F,Pancreas
pancreatic precursor cells,#975726,Pancreas
pancreas,#995522,Pancreas
pituitary,#AAFF99,Pituitary
prostrate,#DDDDDD,Prostrate
endometrium,#004D39,Reproductive organs
uterus,#4D004D,Reproductive organs
testis,#AAAAAA,Reproductive organs
placental epithelial cells,#DFFF80,Reproductive organs
fetal reproductive organs,#DFFF80,Reproductive organs
placenta,#ECFFB3,Reproductive organs
vagina,#FF5599,Reproductive organs
ovary,#FFAAFF,Reproductive organs
fallopian tube,#FFCCCC,Reproductive organs
minor salivary gland,#99BB88,salivary gland
salivary gland,#99BB88,salivary gland
mesodermal progenitors,#0000B3,Soft tissue
scalp,#0000CC,Skin
skin,#0000E6,Skin
skin not sun exposed suprapubic,#0000FF,Skin
hair follicle keratinocytes,#0000B3,Skin
keratinocytes,#0000B3,Skin
dermal fibroblasts,#1A1AFF,Skin
dermal lymphatic endothelial cells,#3333FF,Skin
fetal skin,#4D4DFF,Skin
skin sun exposed lower leg,#7777FF,Skin
mesoderm,#9999FF,Soft tissue
spleen t cells,#758458,Spleen
spleen,#778855,Spleen
fetal spleen,#778952,Spleen
stomach,#FFDD99,Stomach
fetal stomach,#FFE6B3,Stomach
bladder,#AA0000,Urinary system
blood vessel,#CC3300,Vascular
microvascular endothelial cells,#E63900,Vascular
artery tibial,#FF0000,Vascular
umbilical vein endothelial cells,#FF4000,Vascular
vascular endothelial cells,#FF531A,Vascular
artery aorta,#FF5555,Vascular
aortic fibroblasts,#FF5555,Vascular
aortic endothelial cells,#FF5555,Vascular
vascular smooth muscle cells,#FF6633,Vascular
vein endothelial cells,#FF794D,Vascular
intracranial cortical artery,#FF8C66,Vascular
fetal cord,#FF9F80,Vascular
coronary artery,#FFAA99,Vascular
artery coronary,#FFAA99,Vascular
pericytes,#FFC6B3,Vascular
endothelial cells,#FFC6B3,Vascular
endothelial and pericytes,#FFC6B3,Vascular
upper aerodigestive tract,#CCB3CC,Airway
airway epithelium,#D6C2D6,Airway
bronchus,#C2A3C2,Airway
bronchial epithelium,#B894B8,Airway
trachea,#AD85AD,Airway
appendix,#A37575,Digestive system
gall bladder,#996666,Digestive system
oocytes,#8599AD,Germ cells
primordial germ cells,#94A6B8,Germ cells
sperm,#A3B3C2,Germ cells
teratoma,#B3BFCC,Germ cells
head and neck,#29333D,head and neck
hesc,#F07575,hESCs
hesc differentiating into cardiomyocytes ,#EC7979,hESCs
hesc-derived cells,#E87D7D,hESCs
hescs,#E48181,hESCs
hescs presomitic mesoderm,#E08585,hESCs
hescs somite,#DD8888,hESCs
day 10 hescs cardiac lineage,#66FFD9,Intermediate cells
day 2 hescs cardiac lineage,#80FFDF,Intermediate cells
day 6 hescs cardiac lineage,#99FFE6,Intermediate cells
hipsc-derived cells,#B3FFEC,Intermediate cells
reprogramming cells,#CCFFF2,Intermediate cells
reprogramming intermediates of hif cells,#E6FFF9,Intermediate cells
reprogramming intermediates of hif-t cells,#E6FFF9,Intermediate cells
ipscs,#009999,iPSCs
pluripotent stem cells,#008080,iPSCs
hipsc,#006666,iPSCs
lymph node,#47476b,Lymph
lymph vessel,#3D3D5C,Lymph
hematopoietic stem cells,#660033,Multipotent cells
multipotent progenitors,#800040,Multipotent cells
bone marrow–derived stromal stem cells,#99004D,Multipotent cells
bone mesenchymal stem cell,#33001A,Multipotent cells
nasal cavity and sinuses,#8A0F0F,Nasal cavity
nasal cells,#861313,Nasal cavity
nasal epithelium,#821717,Nasal cavity
nasal inferior turbinate,#7E1B1B,Nasal cavity
nasal lavage,#7A1F1F,Nasal cavity
nasal mucosa,#772222,Nasal cavity
nasopharynx,#732626,Nasal cavity
oral mucosa,#4D2673,Oral cavity
fetal tongue,#4D2E6B,Oral cavity
tonsil,#4D3663,Oral cavity
rectal mucosa,#00661A,Rectum
rectum,#004D13,Rectum
retroperitoneum,#00330D,Rectum
soft tissue,#C28E8E,Soft tissue
thymus,#CC9900,Thymus
tissue mixture,#B8E0B8,Tissue mixture
urine,#CC8F33,Urine
