gene_id	median_nominal_pval	median_perm_pval
ENSG00000000003.14	9.98453e-6	0.010499
ENSG00000000005.5	5.61242e-4	0.359813
ENSG00000000419.12	1.08557e-4	0.217372
ENSG00000000457.13	1.93787e-5	0.0282972
ENSG00000000460.16	5.33071e-6	0.00609939
ENSG00000000938.12	3.88253e-4	0.274849
ENSG00000000971.15	1.96422e-4	0.164801
ENSG00000001036.13	1.85559e-5	0.0337966
ENSG00000001084.10	2.49551e-5	0.0413959
ENSG00000001167.14	3.18738e-9	9.999e-5
ENSG00000001460.17	3.54305e-9	9.999e-5
ENSG00000001461.16	1.48672e-5	0.0266973
ENSG00000001497.16	3.2447e-4	0.0952905
ENSG00000001561.6	7.65427e-7	0.00169983
ENSG00000001617.11	5.63261e-4	0.204913
ENSG00000001626.14	3.23909e-4	0.231499
ENSG00000001629.9	2.60484e-4	0.207375
ENSG00000001630.15	4.21819e-4	0.366532
ENSG00000001631.15	5.0714e-5	0.0626937
ENSG00000002016.17	8.32165e-14	9.999e-5
ENSG00000002079.13	2.624565e-4	0.292779
ENSG00000002330.13	4.1878e-4	0.361241
ENSG00000002549.12	5.39533e-5	0.079792
ENSG00000002586.18	1.68189e-5	0.0610939
ENSG00000002587.9	8.781755e-5	0.179915
ENSG00000002726.20	2.64451e-6	0.0076992300000000005
ENSG00000002745.12	2.18944e-4	0.2030745
ENSG00000002746.14	9.60321e-5	0.12164349999999999
ENSG00000002822.15	4.46483e-5	0.12695
ENSG00000002834.17	1.91074e-4	0.20584
ENSG00000002919.14	2.38588e-10	9.999e-5
ENSG00000002933.7	2.70743e-11	9.999e-5
ENSG00000003056.7	6.1256e-6	0.0122988
ENSG00000003096.14	2.683185e-4	0.2535865
ENSG00000003137.8	1.7799949999999998e-4	0.2568165
ENSG00000003147.17	1.56668e-5	0.0557944
ENSG00000003249.13	3.19249e-10	9.999e-5
ENSG00000003393.14	8.34221e-7	6.9993e-4
ENSG00000003400.14	2.20255e-4	0.250752
ENSG00000003402.19	2.31997e-4	0.258123
ENSG00000003436.15	5.42639e-5	0.0625937
ENSG00000003509.15	1.01921e-4	0.222198
ENSG00000003756.16	9.91548e-4	0.299074
ENSG00000003987.13	6.12094e-5	0.185473
ENSG00000003989.17	4.03694e-5	0.143061
ENSG00000004059.10	2.07627e-4	0.241846
ENSG00000004139.13	3.14588e-4	0.276672
ENSG00000004142.11	1.48129e-6	0.00229977
ENSG00000004399.12	2.56712e-4	0.290482
ENSG00000004455.16	1.63882e-4	0.180686
ENSG00000004468.12	4.33019e-6	0.00829917
ENSG00000004478.7	1.71011e-4	0.372673
ENSG00000004487.15	1.37446e-4	0.197553
ENSG00000004534.14	1.71173e-40	9.999e-5
ENSG00000004660.14	6.18351e-5	0.163003
ENSG00000004700.15	3.62303e-6	0.00839916
ENSG00000004766.15	5.09595e-5	0.0523948
ENSG00000004776.12	2.57109e-4	0.323634
ENSG00000004777.18	3.34131e-6	0.00539946
ENSG00000004779.9	2.9014e-4	0.435407
ENSG00000004799.7	1.37589e-4	0.152359
ENSG00000004809.13	7.9675e-15	9.999e-5
ENSG00000004838.13	5.20322e-4	0.160006
ENSG00000004846.16	2.81676e-4	0.49801
ENSG00000004848.7	6.8445e-4	0.378593
ENSG00000004864.13	1.6167e-4	0.227552
ENSG00000004866.20	5.208e-4	0.437118
ENSG00000004897.11	1.80969e-4	0.146004
ENSG00000004939.13	4.367525e-4	0.394413
ENSG00000004948.13	2.26853e-4	0.211942
ENSG00000004961.14	4.51701e-4	0.288473
ENSG00000004975.11	1.55994e-4	0.357628
ENSG00000005001.9	1.22669e-4	0.235529
ENSG00000005007.12	3.17173e-4	0.398805
ENSG00000005020.12	3.80256e-5	0.059594
ENSG00000005022.5	7.15416e-5	0.0590941
ENSG00000005059.15	1.60803e-4	0.218368
ENSG00000005073.5	5.01881e-4	0.491892
ENSG00000005075.15	4.60928e-6	0.00669933
ENSG00000005100.12	1.03059e-4	0.24379
ENSG00000005102.12	2.313995e-5	0.02634735
ENSG00000005108.15	4.48586e-5	0.0876912
ENSG00000005156.11	3.41489e-17	9.999e-5
ENSG00000005175.9	1.93261e-4	0.269666
ENSG00000005187.11	1.33425e-5	0.0220978
ENSG00000005189.19	2.40565e-5	0.0339966
ENSG00000005194.14	2.38332e-5	0.0550945
ENSG00000005206.16	5.79025e-9	9.999e-5
ENSG00000005238.19	1.86749e-4	0.215593
ENSG00000005243.9	1.06843e-4	0.107036
ENSG00000005249.12	1.89161e-4	0.284375
ENSG00000005302.17	1.49108e-4	0.158486
ENSG00000005339.14	2.61876e-4	0.43465
ENSG00000005379.15	9.93995e-6	0.0136986
ENSG00000005381.7	3.018665e-4	0.368968
ENSG00000005421.8	4.4920300000000004e-5	0.0508949
ENSG00000005436.13	5.43586e-6	0.0133987
ENSG00000005448.16	1.92347e-4	0.251381
ENSG00000005469.11	1.71951e-4	0.16849
ENSG00000005471.15	9.029280000000001e-5	0.0908909
ENSG00000005483.20	1.532e-4	0.230221
ENSG00000005486.16	4.06155e-5	0.0428957
ENSG00000005513.9	4.99182e-5	0.124751
ENSG00000005700.14	5.57024e-5	0.0663934
ENSG00000005801.16	6.79007e-14	9.999e-5
ENSG00000005810.17	3.38537e-4	0.293807
ENSG00000005812.10	2.75201e-4	0.339898
ENSG00000005844.17	4.77667e-4	0.297828
ENSG00000005882.11	5.25363e-11	9.999e-5
ENSG00000005884.17	8.84324e-5	0.159777
ENSG00000005889.15	5.94382e-5	0.069693
ENSG00000005893.15	2.11114e-4	0.195967
ENSG00000005961.17	4.91072e-4	0.473062
ENSG00000005981.12	2.1205e-6	0.00209979
ENSG00000006007.11	7.74851e-5	0.134507
ENSG00000006015.17	2.23311e-4	0.309811
ENSG00000006016.10	3.46313e-5	0.0635936
ENSG00000006025.11	1.71519e-4	0.171639
ENSG00000006042.11	6.31252e-11	9.999e-5
ENSG00000006047.12	1.23679e-4	0.268149
ENSG00000006059.3	1.83212e-4	0.199125
ENSG00000006062.14	6.07262e-4	0.463211
ENSG00000006071.12	8.259840000000001e-14	9.999e-5
ENSG00000006116.3	1.59793e-4	0.254578
ENSG00000006118.14	4.11386e-5	0.0710929
ENSG00000006125.17	1.19363e-4	0.176512
ENSG00000006128.11	1.45296e-4	0.19391350000000002
ENSG00000006194.9	1.87945e-6	0.00319968
ENSG00000006210.6	2.01644e-4	0.387384
ENSG00000006282.20	6.637e-51	9.999e-5
ENSG00000006283.17	1.089605e-4	0.2086735
ENSG00000006327.13	2.67061e-4	0.39534
ENSG00000006377.10	2.42028e-4	0.295804
ENSG00000006432.15	2.00107e-5	0.029897
ENSG00000006451.7	2.96485e-4	0.278597
ENSG00000006453.13	6.78515e-5	0.110693
ENSG00000006459.10	2.14422e-5	0.0344966
ENSG00000006468.13	1.34903e-4	0.293807
ENSG00000006530.15	7.07373e-8	1.9998e-4
ENSG00000006534.15	4.38128e-5	0.0692931
ENSG00000006555.10	7.903775e-5	0.1447705
ENSG00000006576.16	3.84232e-4	0.533867
ENSG00000006606.8	1.5032400000000002e-4	0.16592400000000002
ENSG00000006607.13	1.02354e-11	9.999e-5
ENSG00000006611.15	9.71046e-5	0.1351175
ENSG00000006625.17	8.06494e-7	0.00249975
ENSG00000006634.7	5.16266e-4	0.351845
ENSG00000006638.11	6.69808e-5	0.222593
ENSG00000006652.13	2.08803e-12	9.999e-5
ENSG00000006659.12	7.14797e-5	0.113415
ENSG00000006695.10	3.95063e-5	0.110376
ENSG00000006704.10	2.42999e-4	0.217325
ENSG00000006712.14	3.28609e-4	0.436736
ENSG00000006715.15	7.42166e-8	9.999e-5
ENSG00000006740.16	6.93118e-6	0.0187981
ENSG00000006744.18	4.19515e-24	9.999e-5
ENSG00000006747.14	4.63093e-6	0.0127987
ENSG00000006756.15	1.31706e-6	0.00359964
ENSG00000006757.11	7.03386e-6	0.00709929
ENSG00000006788.13	7.21851e-5	0.183153
ENSG00000006831.9	1.72567e-4	0.344578
ENSG00000006837.11	1.88134e-4	0.28229
ENSG00000007001.12	1.15855e-4	0.152267
ENSG00000007038.10	8.76434e-5	0.165073
ENSG00000007047.14	1.54954e-4	0.301779
ENSG00000007062.11	1.6205e-5	0.0320968
ENSG00000007080.10	5.4484e-7	0.00139986
ENSG00000007129.17	1.3192664999999999e-9	9.999e-5
ENSG00000007168.12	1.03761e-4	0.239531
ENSG00000007171.16	3.37158e-19	9.999e-5
ENSG00000007174.17	6.643980000000001e-5	0.1512965
ENSG00000007202.14	6.03861e-4	0.44908
ENSG00000007216.14	2.60096e-4	0.242197
ENSG00000007237.18	8.8613e-5	0.229904
ENSG00000007255.10	5.38745e-5	0.122252
ENSG00000007264.14	1.79817e-5	0.059694
ENSG00000007306.14	1.744475e-4	0.2252575
ENSG00000007312.12	8.92939e-5	0.0929907
ENSG00000007314.12	2.3681399999999999e-4	0.240634
ENSG00000007341.18	3.24678e-18	9.999e-5
ENSG00000007350.16	6.07496e-4	0.39071
ENSG00000007372.21	3.2596299999999997e-4	0.246256
ENSG00000007376.7	1.41735e-5	0.0389961
ENSG00000007384.15	9.94546e-5	0.177074
ENSG00000007392.16	1.88416e-4	0.337264
ENSG00000007402.11	5.69711e-4	0.21316
ENSG00000007516.13	9.52596e-8	4.9995e-4
ENSG00000007520.3	1.26848e-5	0.0319968
ENSG00000007541.16	2.73616e-7	9.999e-4
ENSG00000007545.15	1.49721e-4	0.381333
ENSG00000007866.19	1.6456e-4	0.161348
ENSG00000007908.15	3.437885e-4	0.3508955
ENSG00000007923.15	2.98951e-4	0.425595
ENSG00000007933.12	1.5260765e-6	0.0019998
ENSG00000007944.14	1.71611e-4	0.276902
ENSG00000007952.17	1.63113e-4	0.1499575
ENSG00000007968.6	2.1844e-4	0.279922
ENSG00000008018.8	1.91943e-5	0.0244976
ENSG00000008056.13	1.90802e-4	0.170007
ENSG00000008083.13	1.29242e-4	0.20149
ENSG00000008086.11	2.26265e-4	0.187173
ENSG00000008118.9	1.76013e-4	0.293721
ENSG00000008128.22	1.38476e-29	9.999e-5
ENSG00000008130.15	4.31014e-7	0.00129987
ENSG00000008196.12	9.71686e-5	0.087511
ENSG00000008197.4	3.02275e-4	0.243772
