All genes,MGI essential,Autosomal dominant,Haploinsufficient,High pLI,High Shet,High Phi,High missense z,ClinVar,OMIM,GWAS nearest,TF,DrugBank,High EDS,Olfactory,eQTL0-deficient
1,19,16,182,20,20,31,20,12,9,12,165,19,2,4991,723790
2,21,19,190,22,25,164,29,16,12,15,190,25,20,4992,8337
9,22,58,215,25,29,176,31,18,16,19,196,30,24,4993,317772
10,25,59,324,29,31,182,40,19,18,23,257,43,29,4994,127391
12,31,60,412,31,40,286,41,21,21,24,326,87,41,4995,127343
13,33,70,554,40,43,287,43,22,22,28,367,100,51,7932,729059
14,34,71,657,41,60,288,47,24,24,31,401,124,70,8383,2980
15,43,81,659,43,81,324,50,25,25,33,405,134,88,8386,79501
16,47,88,668,47,86,394,59,29,34,34,406,135,90,8387,284546
18,48,93,675,60,87,463,60,34,35,35,429,142,91,8388,149647
19,58,94,860,70,91,476,70,35,36,40,430,146,94,8390,79727
20,60,103,861,81,93,489,71,36,37,43,463,150,108,8392,126637
21,70,174,1106,86,102,545,72,37,38,47,466,151,111,8590,126638
22,71,182,1121,87,107,649,81,38,43,48,467,153,112,10798,26239
23,81,203,1139,88,108,659,87,49,50,50,468,154,114,23538,353140
24,90,208,1184,90,119,667,91,50,51,51,474,185,119,26188,353132
25,91,270,1277,91,160,774,93,51,54,60,571,210,120,26189,353131
26,92,283,1280,92,161,777,102,52,58,71,579,217,132,26211,163778
27,93,286,1287,93,176,790,104,53,59,87,604,222,133,26212,149018
28,94,287,1387,102,182,1062,107,54,60,89,639,238,134,26219,140625
29,100,291,1536,103,190,1105,108,58,70,91,646,240,135,26245,149233
30,102,324,1641,107,196,1106,109,59,71,92,668,251,141,26246,9295
31,103,335,1678,108,208,1107,111,60,81,94,687,291,146,26248,8290
32,104,336,1756,111,212,1108,112,70,88,98,688,306,147,26333,128312
33,113,338,1859,115,215,1130,147,71,90,102,745,331,148,26339,127247
34,114,351,1896,119,216,1213,160,72,91,103,860,351,153,26341,388701
35,116,355,1910,120,241,1272,161,81,93,104,861,367,154,26476,440730
36,117,462,1947,160,262,1277,162,86,94,105,864,462,165,26493,26009
37,118,477,2006,161,284,1278,163,87,95,107,988,476,182,26494,4985
38,132,486,2033,162,286,1282,182,88,100,108,1044,486,185,26496,390992
39,133,488,2070,163,287,1290,207,90,103,111,1045,495,187,26529,645745
40,142,611,2131,164,288,1303,208,91,104,113,1046,528,211,26532,3491
41,151,640,2132,176,292,1315,271,92,111,114,1050,552,213,26533,1163
