CHR,START,STOP,ENTREZ,GENE
19,58345178,58353499,1,A1BG
12,9067664,9116229,2,A2M
12,9228533,9275817,3,A2MP1
8,18170477,18223689,9,NAT1
8,18391245,18401218,10,NAT2
14,94612377,94624055,12,SERPINA3
3,151814037,151828488,13,AADAC
2,218264123,218270257,14,AAMP
17,76453351,76470117,15,AANAT
16,70252295,70289543,16,AARS
16,8674565,8784575,18,ABAT
9,104781002,104928237,19,ABCA1
9,137007227,137028922,20,ABCA2
16,2275881,2340746,21,ABCA3
6,30571376,30597179,23,ABCF1
1,93992835,94121132,24,ABCA4
9,130713946,130887675,25,ABL1
7,150824627,150861504,26,AOC1
1,179099327,179229684,27,ABL2
9,133250401,133275214,28,ABO
17,1003518,1229021,29,ABR
3,38103129,38137242,30,ACAA1
17,37084988,37406818,31,ACACA
12,109116595,109268226,32,ACACB
2,210187939,210225491,33,ACADL
1,75724347,75787575,34,ACADM
12,120725735,120740008,35,ACADS
10,123008979,123058311,36,ACADSB
17,7217125,7225273,37,ACADVL
11,108121516,108147776,38,ACAT1
6,159760328,159779055,39,ACAT2
17,33013087,34174964,40,ASIC2
12,50057548,50083611,41,ASIC1
7,100889994,100896974,43,ACHE
17,41866908,41930542,47,ACLY
9,32384603,32454769,48,ACO1
22,50738196,50745334,49,ACR
22,41469125,41528989,50,ACO2
17,75941507,75979363,51,ACOX1
2,264140,278283,52,ACP1
11,47239302,47248906,53,ACP2
19,11574660,11579008,54,ACP5
3,132317367,132368298,55,ACPP
11,125671522,125681123,56,ACRV1
1,229431245,229434098,58,ACTA1
10,88935074,88991339,59,ACTA2
7,5527151,5563784,60,ACTB
15,34788096,34796139,70,ACTC1
17,81509971,81523847,71,ACTG1
2,73892314,73919865,72,ACTG2
19,38647649,38731583,81,ACTN4
3,179562880,179588408,86,ACTL6A
14,68874143,68979440,87,ACTN1
1,236686454,236764631,88,ACTN2
11,66546395,66563329,89,ACTN3
2,157736444,157875862,90,ACVR1
12,51951667,51997078,91,ACVR1B
2,147844517,147930826,92,ACVR2A
3,38453851,38493142,93,ACVR2B
12,51906908,51923361,94,ACVRL1
3,51983278,51989202,95,ACY1
14,75053221,75069483,97,ACYP1
2,53970838,54305300,98,ACYP2
20,44619522,44652233,100,ADA
10,133262403,133276868,101,ADAM8
15,58588807,58749978,102,ADAM10
1,154582062,154627999,103,ADAR
21,45073853,45226560,104,ADARB1
10,1177318,1737476,105,ADARB2
7,45574140,45723116,107,ADCY1
5,7396208,7830081,108,ADCY2
2,24819169,24919839,109,ADCY3
3,123282296,123449758,111,ADCY5
12,48766194,48789037,112,ADCY6
16,50246137,50318135,113,ADCY7
8,130780301,131042426,114,ADCY8
16,3953387,4116185,115,ADCY9
18,904943,912172,116,ADCYAP1
7,31052461,31111479,117,ADCYAP1R1
4,2843857,2930076,118,ADD1
2,70607618,70768225,119,ADD2
10,109996368,110135565,120,ADD3
9,19108375,19149290,123,PLIN2
4,99276367,99291028,124,ADH1A
4,99304964,99352760,125,ADH1B
4,99336492,99353027,126,ADH1C
4,99123657,99157792,127,ADH4
4,99070978,99088801,128,ADH5
4,99202638,99219537,130,ADH6
4,99412261,99435737,131,ADH7
10,74151185,74709303,132,ADK
11,10304680,10307397,133,ADM
1,203090654,203167405,134,ADORA1
22,24417879,24442360,135,ADORA2A
17,15944917,15975746,136,ADORA2B
1,111499429,111503760,140,ADORA3
3,119579268,119589945,141,ADPRH
